group,seed,question,strategy,kind,noise,amplitude_deg,n_sources,n_cleared,clearance_ratio,total_virtual_s,average_per_source_s,runtime_s,measure_count,clear_attempts,failed_clear_attempts,move,switch,measure,optical,laser,cleared_count,visited_survey_points,termination,assumed_bound_deg
stress,20261911,4,triangulate,random,smooth,1,14,14,1.0,13397.206604239078,956.9433288742199,0.10388780000357656,428,146,132,10405.20660423908,386.0,2140.0,438.0,28.0,14,49,full_coverage,1.005
stress,20261912,4,triangulate,random,smooth,1,12,12,1.0,12359.092003033165,1029.9243335860972,0.06376119999913499,457,45,33,9502.092003033165,413.0,2285.0,135.0,24.0,12,49,full_coverage,1.005
stress,20261913,4,triangulate,random,smooth,1,11,11,1.0,12172.405446044175,1106.5823132767432,0.09839530000317609,543,75,64,8712.405446044177,498.0,2715.0,225.0,22.0,11,49,full_coverage,1.005
stress,20261914,4,triangulate,random,smooth,1,11,11,1.0,11880.081541569627,1080.0074128699662,0.029598200002510566,538,27,16,8593.081541569627,494.0,2690.0,81.0,22.0,11,49,full_coverage,1.005
sensitivity,20262910,3,triangulate,random,spatial,0.5,11,11,1.0,9100.916303262835,827.3560275693486,0.010562999996182043,282,12,1,7370.916303262837,262.0,1410.0,36.0,22.0,11,25,full_coverage,0.505
sensitivity,20262911,3,triangulate,random,spatial,0.5,16,16,1.0,7735.179328597042,483.4487080373151,0.021152199995412957,161,24,8,6676.179328597042,150.0,805.0,72.0,32.0,16,16,count_upper_bound,0.505
sensitivity,20262912,3,triangulate,random,spatial,0.5,15,15,1.0,9254.162589319949,616.9441726213299,0.015515600003709551,198,18,3,8000.162589319949,180.0,990.0,54.0,30.0,15,25,full_coverage,0.505
sensitivity,20262913,3,triangulate,random,spatial,0.5,11,11,1.0,9113.602445178134,828.5093131980121,0.010904399998253211,286,13,2,7357.602445178136,265.0,1430.0,39.0,22.0,11,25,full_coverage,0.505
sensitivity,20262914,3,triangulate,random,spatial,0.5,10,10,1.0,9056.614437961502,905.6614437961501,0.009062599994649645,294,11,1,7260.614437961501,273.0,1470.0,33.0,20.0,10,25,full_coverage,0.505
sensitivity,20262910,3,triangulate,random,spatial,1,11,11,1.0,9164.587250332566,833.1442954847788,0.02333139999973355,282,23,12,7401.587250332567,262.0,1410.0,69.0,22.0,11,25,full_coverage,1.005
