group,seed,question,strategy,kind,noise,amplitude_deg,n_sources,n_cleared,clearance_ratio,total_virtual_s,average_per_source_s,runtime_s,measure_count,clear_attempts,failed_clear_attempts,move,switch,measure,optical,laser,cleared_count,visited_survey_points,termination
main,20260924,3,sweep,random,spatial,1,12,12,1.0,12201.932255698535,1016.8276879748779,0.34136920000310056,237,622,610,8914.932255698535,212.0,1185.0,1866.0,24.0,12,25,full_coverage
main,20260924,3,triangulate,random,spatial,1,12,12,1.0,9533.706088956365,794.4755074130304,0.03982740000355989,249,40,28,7915.706088956365,229.0,1245.0,120.0,24.0,12,25,full_coverage
main,20260925,3,sweep,random,spatial,1,15,15,1.0,14745.613270263982,983.0408846842655,0.48691920000419486,192,921,906,10823.613270263986,169.0,960.0,2763.0,30.0,15,25,full_coverage
main,20260925,3,triangulate,random,spatial,1,15,15,1.0,10158.348064510988,677.2232043007326,0.03218419999757316,207,47,32,8766.348064510988,186.0,1035.0,141.0,30.0,15,25,full_coverage
main,20260926,3,sweep,random,spatial,1,15,15,1.0,14377.153547844602,958.4769031896401,0.5348490000033053,197,903,888,10481.153547844606,172.0,985.0,2709.0,30.0,15,25,full_coverage
main,20260926,3,triangulate,random,spatial,1,15,15,1.0,9848.58704220092,656.5724694800613,0.05177699999330798,202,44,29,8493.587042200917,183.0,1010.0,132.0,30.0,15,25,full_coverage
main,20260927,3,sweep,random,spatial,1,13,13,1.0,12090.82314214672,930.0633186266708,0.4691571000003023,230,620,607,8849.823142146724,205.0,1150.0,1860.0,26.0,13,25,full_coverage
main,20260927,3,triangulate,random,spatial,1,13,13,1.0,9211.131845861984,708.548603527845,0.036992599998484366,223,28,15,7783.131845861984,203.0,1115.0,84.0,26.0,13,25,full_coverage
main,20260928,3,sweep,random,spatial,1,11,11,1.0,11339.139527259385,1030.8308661144895,0.411129100000835,260,580,569,8041.139527259385,236.0,1300.0,1740.0,22.0,11,25,full_coverage
main,20260928,3,triangulate,random,spatial,1,11,11,1.0,8939.558119637215,812.6871017852013,0.032854800003406126,271,34,23,7209.558119637213,251.0,1355.0,102.0,22.0,11,25,full_coverage
main,20260929,3,sweep,random,spatial,1,11,11,1.0,10400.983995185188,945.5439995622899,0.3463229999979376,277,341,330,7717.983995185188,253.0,1385.0,1023.0,22.0,11,25,full_coverage
main,20260929,3,triangulate,random,spatial,1,11,11,1.0,9322.444211344764,847.4949283040695,0.015431500003614929,288,18,7,7539.444211344764,267.0,1440.0,54.0,22.0,11,25,full_coverage
main,20260930,3,sweep,random,spatial,1,14,14,1.0,10868.144438325571,776.2960313089694,0.4620282999967458,229,485,471,8035.144438325573,205.0,1145.0,1455.0,28.0,14,25,full_coverage
main,20260930,3,triangulate,random,spatial,1,14,14,1.0,9175.956426120996,655.4254590086426,0.018933200000901707,243,20,6,7648.956426120996,224.0,1215.0,60.0,28.0,14,25,full_coverage
main,20260931,3,sweep,random,spatial,1,12,12,1.0,10963.206932224526,913.6005776853772,0.421225999998569,244,596,584,7711.206932224525,220.0,1220.0,1788.0,24.0,12,25,full_coverage
main,20260931,3,triangulate,random,spatial,1,12,12,1.0,8836.151843954009,736.3459869961674,0.025875200000882614,296,27,15,6975.1518439540105,276.0,1480.0,81.0,24.0,12,25,full_coverage
main,20260932,3,sweep,random,spatial,1,13,13,1.0,13342.254842120667,1026.3272955477437,0.42756469999585534,255,681,668,9767.254842120667,231.0,1275.0,2043.0,26.0,13,25,full_coverage
main,20260932,3,triangulate,random,spatial,1,13,13,1.0,10194.74423611155,784.2110950855039,0.02596810000250116,268,50,37,8430.74423611155,248.0,1340.0,150.0,26.0,13,25,full_coverage
main,20260933,3,sweep,random,spatial,1,10,10,1.0,12410.59607986299,1241.059607986299,0.2506493999972008,277,537,527,9142.59607986299,252.0,1385.0,1611.0,20.0,10,25,full_coverage
main,20260933,3,triangulate,random,spatial,1,10,10,1.0,10083.029933847909,1008.3029933847909,0.022465200003352948,287,41,31,8240.029933847909,265.0,1435.0,123.0,20.0,10,25,full_coverage
