run,case_code,sources_cleared,total_virtual_s,seconds_per_source,move_s,measure_s,switch_s,optical_s,laser_s,actions,program_s,stations,q3_policy_sha,q4_policy_sha
q3_20260912_232636_640ed390,,16,3316.512,207.28,2425.5,685.0,126.0,48.0,32.0,155,0.7,7,d12fa3a5,3de0e9a0
q3_20260912_232648_474c287f,,11,2910.759,264.61,2087.8,645.0,123.0,33.0,22.0,142,0.5,7,d12fa3a5,3de0e9a0
q3_20260912_232737_cfc20dd1,,16,2963.509,185.22,2168.5,600.0,115.0,48.0,32.0,138,0.7,6,d12fa3a5,3de0e9a0
q3_20260912_232750_f7c2f43b,,11,3168.667,288.06,2327.7,665.0,121.0,33.0,22.0,146,0.5,7,d12fa3a5,3de0e9a0
q3_20260912_232805_feb2e486,,11,3148.976,286.27,2312.0,660.0,122.0,33.0,22.0,145,0.4,7,d12fa3a5,3de0e9a0
q3_20260912_232828_9907143e,,13,3181.497,244.73,2356.5,640.0,120.0,39.0,26.0,143,0.5,7,d12fa3a5,3de0e9a0
q3_20260912_232843_5a563b6b,,14,3714.666,265.33,2788.7,720.0,136.0,42.0,28.0,160,0.7,7,d12fa3a5,3de0e9a0
q3_20260912_232859_bb5fcb09,,11,3166.635,287.88,2360.6,635.0,116.0,33.0,22.0,140,0.4,7,d12fa3a5,3de0e9a0
q3_20260912_232944_bb5c3312,,12,3101.626,258.47,2271.6,650.0,120.0,36.0,24.0,144,0.4,7,d12fa3a5,3de0e9a0
q3_20260912_233001_bd8e659d,,15,3388.217,225.88,2596.2,605.0,112.0,45.0,30.0,138,0.5,7,d12fa3a5,3de0e9a0
q3_20260912_233030_ef15dd5b,,15,3430.599,228.71,2640.6,605.0,110.0,45.0,30.0,138,0.5,7,d12fa3a5,3de0e9a0
q3_20260912_233047_a0aa7360,,12,3550.943,295.91,2770.9,610.0,110.0,36.0,24.0,136,0.4,7,d12fa3a5,3de0e9a0
q3_20260912_233118_6844f381,,11,3164.704,287.7,2311.7,675.0,123.0,33.0,22.0,148,0.4,7,d12fa3a5,3de0e9a0
q3_20260912_233133_1021e4da,,13,3610.042,277.7,2626.0,615.0,115.0,228.0,26.0,201,0.7,7,d12fa3a5,3de0e9a0
q3_20260913_090158_56f34450,,15,3671.326,244.76,2791.3,680.0,125.0,45.0,30.0,153,0.6,7,d12fa3a5,3de0e9a0
q3_20260913_090210_f31c4de2,,10,3166.504,316.65,2330.5,660.0,126.0,30.0,20.0,144,0.4,7,d12fa3a5,3de0e9a0
q3_20260913_090226_3fb298e2,,12,2964.357,247.03,2171.4,620.0,113.0,36.0,24.0,138,0.4,7,d12fa3a5,3de0e9a0
q3_20260913_090237_c4b6d6b2,,12,3109.448,259.12,2298.4,635.0,116.0,36.0,24.0,141,0.4,7,d12fa3a5,3de0e9a0
q3_20260913_090249_95ce679a,,13,3005.628,231.2,2180.6,645.0,115.0,39.0,26.0,144,0.5,7,d12fa3a5,3de0e9a0
q3_20260913_090301_b9a1a752,,13,4065.535,312.73,3138.5,665.0,125.0,111.0,26.0,172,0.6,7,d12fa3a5,3de0e9a0
