seed,question,variant,kind,noise,sources,cleared,seconds_per_source,virtual_s,runtime_s,actions,move_s,measure_s,switch_s,optical_s,laser_s,cleared_count,visited_survey_points,termination,shared_attempts,shared_hits
20280915,4,B1,radius_min,spatial,13,13,995.3629889764853,12939.71885669431,0.12861230000271462,689,9182.718856694311,2840.0,528.0,363.0,26.0,13,49,full_coverage,,
20280915,4,shared,radius_min,spatial,13,13,1022.5323938142622,13292.921119585408,0.1340226000029361,730,9415.921119585411,2845.0,523.0,483.0,26.0,13,49,full_coverage,12,5
20280915,4,B1,all_directional,constant,13,13,1135.874544180077,14766.369074341002,0.17441970000072615,911,10107.369074341006,3230.0,608.0,795.0,26.0,13,49,full_coverage,,
20280915,4,shared,all_directional,constant,13,13,1123.8849236575857,14610.504007548612,0.17882210000243504,901,9977.504007548616,3240.0,608.0,759.0,26.0,13,49,full_coverage,3,1
20280915,4,B1,random,smooth,13,13,1006.6429825596487,13086.358773275433,0.12860039999941364,505,10364.358773275431,2040.0,365.0,291.0,26.0,13,49,full_coverage,,
20280915,4,shared,random,smooth,13,13,942.9204793847774,12257.966232002107,0.09225949999381555,582,8929.966232002109,2670.0,488.0,144.0,26.0,13,49,full_coverage,12,10
20280916,4,B1,boundary,constant,10,10,1366.400599287524,13664.005992875242,0.18852879999758443,858,8887.005992875242,3710.0,699.0,348.0,20.0,10,49,full_coverage,,
20280916,4,shared,boundary,constant,10,10,1329.801839115055,13298.01839115055,0.16781250000349246,846,8588.018391150552,3665.0,686.0,339.0,20.0,10,49,full_coverage,5,1
20280916,4,B1,cluster,smooth,10,10,1262.2166814330822,12622.166814330822,0.1520429999945918,551,9463.166814330822,2555.0,464.0,120.0,20.0,10,49,full_coverage,,
20280916,4,shared,cluster,smooth,10,10,1076.7021103287964,10767.021103287963,0.09087120000185678,529,7668.021103287962,2565.0,466.0,48.0,20.0,10,49,full_coverage,8,6
20280916,4,B1,radius_min,spatial,10,10,1282.5861394109636,12825.861394109636,0.043931899999734014,572,9526.861394109636,2680.0,491.0,108.0,20.0,10,49,full_coverage,,
20280916,4,shared,radius_min,spatial,10,10,1292.793969846678,12927.93969846678,0.07578909999574535,646,9321.939698466778,2825.0,518.0,243.0,20.0,10,49,full_coverage,11,5
20280916,4,B1,all_directional,constant,10,10,1436.5446836078493,14365.446836078492,0.18563839999842457,965,9429.446836078494,3435.0,647.0,834.0,20.0,10,49,full_coverage,,
20280916,4,shared,all_directional,constant,10,10,1412.2958933930481,14122.958933930482,0.1505128999997396,946,9243.95893393049,3435.0,647.0,777.0,20.0,10,49,full_coverage,0,0
20280916,4,B1,random,smooth,10,10,1386.9143029818074,13869.143029818073,0.12096020000171848,876,9484.143029818073,2965.0,551.0,849.0,20.0,10,49,full_coverage,,
