case_id,phase,baseline_s_per_source,candidate_s_per_source,extra_s_per_source
local-3-2026091140-random,holdout,295.43443415393307,309.6678871471593,14.233452993226251
local-3-2026091166-random,holdout,281.87496446190096,306.6954134677764,24.820449005875446
