data_source,case_id,phase,question,seed,kind,noise,true_source_count,cleared_count,clear_ratio,virtual_time,average_clear_time,real_program_time,movement_distance,measure_count,channel_switch_count,clear_attempt_count,failed_clear_count,strategy_version,parameters,visited_survey_points,termination,move_s,measure_s,switch_s,optical_s,laser_s,validation_passed,notes
local_synthetic,local-3-2026090100-random,development,3,2026090100,random,spatial,12,12,1.0,9000.680246905307,750.056687242109,0.02565839999988384,35313.40123452653,312,288,22,10,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7062.6802469053055,1560.0,288.0,66.0,24.0,True,
local_synthetic,local-3-2026090101-random,development,3,2026090101,random,spatial,14,14,1.0,8285.86271990363,591.8473371359735,0.03907679999974789,34389.31359951814,210,186,48,34,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6877.862719903627,1050.0,186.0,144.0,28.0,True,
local_synthetic,local-3-2026090102-random,development,3,2026090102,random,spatial,14,14,1.0,8435.142087711778,602.5101491222698,0.031041099999129074,34695.7104385589,231,211,34,20,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6939.142087711779,1155.0,211.0,102.0,28.0,True,
local_synthetic,local-3-2026090103-random,development,3,2026090103,random,spatial,16,16,1.0,5668.583722289257,354.28648264307856,0.03132699999878241,23282.91861144628,152,139,27,11,baseline-shared,"{""q3_survey_layout"": ""grid""}",15,count_upper_bound,4656.583722289256,760.0,139.0,81.0,32.0,True,
local_synthetic,local-3-2026090104-random,development,3,2026090104,random,spatial,14,14,1.0,8196.140613334223,585.4386152381587,0.036615400000300724,33735.703066671114,220,198,41,27,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6747.1406133342225,1100.0,198.0,123.0,28.0,True,
local_synthetic,local-3-2026090105-random,development,3,2026090105,random,spatial,15,15,1.0,8431.75001879589,562.1166679197261,0.04759110000122746,35338.75009397945,209,187,34,19,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7067.750018795889,1045.0,187.0,102.0,30.0,True,
local_synthetic,local-3-2026090106-random,development,3,2026090106,random,spatial,10,10,1.0,8801.540329415437,880.1540329415436,0.026528000000325846,33052.70164707718,348,326,35,25,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6610.540329415435,1740.0,326.0,105.0,20.0,True,
local_synthetic,local-3-2026090107-random,development,3,2026090107,random,spatial,11,11,1.0,8825.587470135568,802.326133648688,0.02797169999939797,35177.93735067783,286,266,24,13,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,7035.587470135566,1430.0,266.0,72.0,22.0,True,
local_synthetic,local-3-2026090108-random,development,3,2026090108,random,spatial,11,11,1.0,8501.449344654087,772.8590313321897,0.019929899999624467,33607.246723270444,286,265,21,10,baseline-shared,"{""q3_survey_layout"": ""grid""}",25,full_coverage,6721.449344654088,1430.0,265.0,63.0,22.0,True,
local_synthetic,local-3-2026090109-random,development,3,2026090109,random,spatial,16,16,1.0,6574.27736013071,410.89233500816937,0.040972300001158146,26911.38680065354,171,161,48,32,baseline-shared,"{""q3_survey_layout"": ""grid""}",16,count_upper_bound,5382.277360130708,855.0,161.0,144.0,32.0,True,
