forward_m,lateral_m,source_range_m,first_error_deg,second_error_deg,area_m2,diameter_m,mec_radius_m,acute_crossing_angle_deg,second_visible
250,100,5.1,-1.005,-1.005,0.4970499605044749,5.557449458735814,2.778724729367907,23.2345341688627,True
250,100,5.1,-1.005,0,5.120342115318543,17.800330369649153,8.900165184824576,23.2345341688627,True
250,100,5.1,-1.005,1.005,13.178763411866125,23.93927118826226,11.96963559413113,23.2345341688627,True
250,100,5.1,0.0,-1.005,0.45712042691412064,5.329757632403597,2.6648788162017985,22.211663584896062,True
250,100,5.1,0.0,0,5.00074460790323,17.5918379674729,8.79591898373645,22.211663584896062,True
250,100,5.1,0.0,1.005,13.037794528778758,23.95667708962904,11.97833854481452,22.211663584896062,True
250,100,5.1,1.005,-1.005,0.4185260254583949,5.0999999999999055,2.5499999999999527,21.18865994019004,True
250,100,5.1,1.005,0,4.881512521574624,17.381470847361054,8.690735423680527,21.18865994019004,True
250,100,5.1,1.005,1.005,12.895109766302188,23.974240565219837,11.987120282609919,21.18865994019004,True
250,100,79.845,-1.005,-1.005,37.501812423754714,19.01149098284728,9.50574549142364,31.795160126243637,True
250,100,79.845,-1.005,0,38.56386567082424,18.44897183166503,9.224485915832515,31.795160126243637,True
250,100,79.845,-1.005,1.005,39.290638178858146,17.924140224510907,8.962070112255454,31.795160126243637,True
250,100,79.845,0.0,-1.005,37.04134663953537,19.21541766409347,9.607708832046734,30.442730436840353,True
250,100,79.845,0.0,0,38.23865377960955,18.638985122624216,9.319492561312115,30.442730436840353,True
250,100,79.845,0.0,1.005,39.0726458333341,18.101536457792832,9.050768228896416,30.442730436840353,True
250,100,79.845,1.005,-1.005,36.516682164152364,19.428226564163285,9.714113282081646,29.084167685001937,True
250,100,79.845,1.005,0,37.863282797677925,18.837132080788198,9.418566040394106,29.084167685001937,True
250,100,79.845,1.005,1.005,38.815585455699775,18.28640308511476,9.143201542557387,29.084167685001937,True
250,100,154.59,-1.005,-1.005,36.44755272810596,13.106891579817184,6.553445789908605,48.108470784421996,True
250,100,154.59,-1.005,0,36.02015511840051,12.891273917299586,6.445636958649806,48.108470784421996,True
250,100,154.59,-1.005,1.005,35.59898463833969,12.686475559695076,6.343237779847538,48.108470784421996,True
250,100,154.59,0.0,-1.005,36.77238007672128,13.27706542619883,6.638532713099415,46.34557738772877,True
250,100,154.59,0.0,0,36.34202326164649,13.052836757897088,6.526418378948544,46.34557738772877,True
250,100,154.59,0.0,1.005,35.91593065999942,12.839940812853195,6.41997040642661,46.34557738772877,True
250,100,154.59,1.005,-1.005,37.113432297648274,13.462755119202397,6.731377559601198,44.546398611186405,True
250,100,154.59,1.005,0,36.681895052115436,13.22905373509315,6.614526867546575,44.546398611186405,True
250,100,154.59,1.005,1.005,36.25219430086409,13.00726117549956,6.50363058774978,44.546398611186405,True
250,100,229.335,-1.005,-1.005,29.420865331106995,9.664337325766727,4.8321686628833636,79.75027093221865,True
250,100,229.335,-1.005,0,29.44127934718432,9.62911862642857,4.814559313214293,79.75027093221865,True
250,100,229.335,-1.005,1.005,29.47709140116342,9.59709763634966,4.79854881817483,79.75027093221865,True
250,100,229.335,0.0,-1.005,29.41685770014186,9.680057966927587,4.840028983463793,78.32417798628698,True
250,100,229.335,0.0,0,29.43085965992168,9.64348281359356,4.82174140679678,78.32417798628698,True
250,100,229.335,0.0,1.005,29.46020267345176,9.610128565740235,4.805064282870117,78.32417798628698,True
250,100,229.335,1.005,-1.005,29.41556324791577,9.699282453784395,4.849641226892198,76.82397505101466,True
250,100,229.335,1.005,0,29.42205104439563,9.661098738774122,4.830549369387061,76.82397505101466,True
250,100,229.335,1.005,1.005,29.44381858865978,9.626164489135338,4.813082244567669,76.82397505101466,True
250,100,304.08000000000004,-1.005,-1.005,45.724243743002035,14.170458068682708,7.085229034341372,61.838400205936075,True
250,100,304.08000000000004,-1.005,0,46.88014328462043,14.462888596155347,7.231444298077673,61.838400205936075,True
250,100,304.08000000000004,-1.005,1.005,48.10649122895745,14.76837087447771,7.384185437238855,61.838400205936075,True
250,100,304.08000000000004,0.0,-1.005,47.16993096068279,14.53550222935687,7.267751114678435,61.59547732707075,True
250,100,304.08000000000004,0.0,0,48.41403954845032,14.844258439103402,7.422129219551701,61.59547732707075,True
250,100,304.08000000000004,0.0,1.005,49.73486616798289,15.167081000987555,7.583540500493777,61.59547732707075,True
250,100,304.08000000000004,1.005,-1.005,48.809244976131026,14.941368247256237,7.470684123628139,61.288388566117234,True
250,100,304.08000000000004,1.005,0,50.15460459191945,15.268663343298815,7.634331671649428,61.288388566117234,True
250,100,304.08000000000004,1.005,1.005,51.58408389169517,15.611201556093746,7.805600778046894,61.288388566117234,True
250,100,378.82500000000005,-1.005,-1.005,106.62629851341035,26.632861526984097,13.316430763492049,38.626517350957876,True
250,100,378.82500000000005,-1.005,0,112.45327565166053,27.652311237117093,13.826155618558547,38.626517350957876,True
250,100,378.82500000000005,-1.005,1.005,118.82195687476178,28.74549253944129,14.37274626972067,38.626517350957876,True
250,100,378.82500000000005,0.0,-1.005,117.5163078336675,28.523083769035235,14.261541884517642,37.820289335519874,True
250,100,378.82500000000005,0.0,0,124.36756087447088,29.68083218553279,14.840416092766395,37.820289335519874,True
250,100,378.82500000000005,0.0,1.005,131.88895101055004,30.926664943918,15.463332471959,37.820289335519874,True
250,100,378.82500000000005,1.005,-1.005,130.861997427221,30.758034014912063,15.379017007456032,36.94701359801519,True
250,100,378.82500000000005,1.005,0,139.03631972739936,32.08808899871984,16.044044499359945,36.94701359801519,True
250,100,378.82500000000005,1.005,1.005,148.0562161357184,33.52510839437308,16.76255419718654,36.94701359801519,True
250,100,453.57000000000005,-1.005,-1.005,227.43129955734867,45.1204705266651,22.56023526333255,26.940641423788787,True
250,100,453.57000000000005,-1.005,0,247.09492717458215,47.770524062767805,23.885262031383927,26.940641423788787,True
250,100,453.57000000000005,-1.005,1.005,269.4587514526188,50.702041163135775,25.351020581567912,26.940641423788787,True
250,100,453.57000000000005,0.0,-1.005,264.16817439326337,50.015941338202616,25.007970669101308,26.161725558398704,True
250,100,453.57000000000005,0.0,0,288.9646791788314,53.19471945566948,26.59735972783474,26.161725558398704,True
250,100,453.57000000000005,0.0,1.005,317.4340950641256,56.73704447039383,28.368522235196917,26.161725558398704,True
