data_source,case_id,phase,question,seed,kind,noise,true_source_count,cleared_count,clear_ratio,virtual_time,average_clear_time,real_program_time,movement_distance,measure_count,channel_switch_count,clear_attempt_count,failed_clear_count,strategy_version,parameters,visited_survey_points,termination,move_s,measure_s,switch_s,optical_s,laser_s,validation_passed,notes
local_synthetic,local-3-2026090117-random,development,3,2026090117,random,spatial,13,13,1.0,3987.7439392470296,306.74953378823307,0.0362924999990355,16408.719696235148,99,95,30,17,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,full_coverage,3281.7439392470296,495.0,95.0,90.0,26.0,True,
local_synthetic,local-3-2026090118-random,development,3,2026090118,random,spatial,13,13,1.0,4098.523284260861,315.2710218662201,0.035344999998415005,16842.616421304305,103,99,30,17,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,full_coverage,3368.523284260861,515.0,99.0,90.0,26.0,True,
local_synthetic,local-3-2026090119-random,development,3,2026090119,random,spatial,14,14,1.0,4256.831135165848,304.05936679756053,0.022749100000510225,17479.15567582924,113,108,20,6,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,full_coverage,3495.8311351658476,565.0,108.0,60.0,28.0,True,
local_synthetic,local-3-2026091100-random,holdout,3,2026091100,random,spatial,10,10,1.0,4022.0116340510717,402.2011634051072,0.01578920000065409,16575.05817025536,108,105,14,4,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,full_coverage,3315.011634051072,540.0,105.0,42.0,20.0,True,
local_synthetic,local-3-2026091101-random,holdout,3,2026091101,random,spatial,14,14,1.0,4894.316083670802,349.59400597648585,0.03340179999941029,20446.58041835401,111,105,39,25,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,full_coverage,4089.316083670802,555.0,105.0,117.0,28.0,True,
local_synthetic,local-3-2026091102-random,holdout,3,2026091102,random,spatial,12,12,1.0,4727.824400329382,393.98536669411516,0.02304030000050261,20099.122001646916,104,101,21,9,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,full_coverage,4019.8244003293835,520.0,101.0,63.0,24.0,True,
local_synthetic,local-3-2026091103-random,holdout,3,2026091103,random,spatial,16,16,1.0,5010.4122750641245,313.1507671915078,0.04674960000011197,20887.061375320623,96,93,76,60,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,count_upper_bound,4177.4122750641245,480.0,93.0,228.0,32.0,True,
local_synthetic,local-3-2026091104-random,holdout,3,2026091104,random,spatial,16,16,1.0,4968.626681992495,310.53916762453093,0.04135420000056911,20928.133409962466,100,95,52,36,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,count_upper_bound,4185.626681992493,500.0,95.0,156.0,32.0,True,
local_synthetic,local-3-2026091105-random,holdout,3,2026091105,random,spatial,12,12,1.0,4415.873141849985,367.98942848749874,0.022799400001531467,18214.365709249927,109,105,33,21,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,full_coverage,3642.873141849985,545.0,105.0,99.0,24.0,True,
local_synthetic,local-3-2026091106-random,holdout,3,2026091106,random,spatial,16,16,1.0,4841.6749110005485,302.6046819375343,0.03717049999977462,20863.374555002738,89,84,36,20,candidate-shared,"{""q3_survey_layout"": ""hexagon""}",7,count_upper_bound,4172.674911000548,445.0,84.0,108.0,32.0,True,
