seed,question,kind,noise,amplitude,variant,sources,cleared,average_s,virtual_s,runtime_s,measurements,clear_attempts,failed_clears,move_m,actions,move,switch,measure,optical,laser,cleared_count,visited_survey_points,termination,shared_attempts,shared_hits,group
2031091114,3,random,spatial,1,baseline,10,10,437.96683492705534,4379.668349270553,0.054237100000136707,116,21,11,18028.341746352762,137,3605.6683492705524,111.0,580.0,63.0,20.0,10,7,full_coverage,9,8,validation
2031091114,3,random,spatial,1,candidate,10,10,323.12041859125463,3231.204185912546,0.28056780000042636,129,21,11,11916.02092956273,150,2383.204185912546,120.0,645.0,63.0,20.0,10,7,full_coverage,9,8,validation
2031091115,3,random,spatial,1,baseline,13,13,336.5656596529257,4375.353575488034,0.05120030000034603,106,27,14,18186.767877440172,133,3637.3535754880345,101.0,530.0,81.0,26.0,13,7,full_coverage,12,7,validation
2031091115,3,random,spatial,1,candidate,13,13,278.2033231101309,3616.6432004317016,0.3307669000005262,119,91,78,13053.216002158508,210,2610.6432004317016,112.0,595.0,273.0,26.0,13,7,full_coverage,15,8,validation
2031091116,3,random,spatial,1,baseline,15,15,281.324239763513,4219.863596452695,0.061817400000109046,99,35,20,17469.317982263474,134,3493.8635964526948,96.0,495.0,105.0,30.0,15,7,full_coverage,15,15,validation
2031091116,3,random,spatial,1,candidate,15,15,234.78350424028557,3521.7525636042833,0.40121019999969576,122,59,44,12938.76281802142,181,2587.7525636042838,117.0,610.0,177.0,30.0,15,7,full_coverage,17,17,validation
2031091117,3,random,spatial,1,baseline,10,10,432.82329600937544,4328.232960093755,0.045876099999986764,109,19,9,17991.16480046877,128,3598.232960093754,108.0,545.0,57.0,20.0,10,7,full_coverage,5,5,validation
2031091117,3,random,spatial,1,candidate,10,10,326.2187842779419,3262.187842779419,0.22531119999985094,120,49,39,11910.939213897094,169,2382.187842779419,113.0,600.0,147.0,20.0,10,7,full_coverage,10,9,validation
2031091118,3,random,spatial,1,baseline,12,12,316.24031478725163,3794.88377744702,0.06246890000056737,103,26,14,15389.418887235097,129,3077.8837774470194,100.0,515.0,78.0,24.0,12,7,full_coverage,12,12,validation
2031091118,3,random,spatial,1,candidate,12,12,257.4350443296423,3089.220531955708,0.22017790000063542,116,56,44,11036.102659778537,172,2207.2205319557074,110.0,580.0,168.0,24.0,12,7,full_coverage,13,12,validation
2031091119,3,random,spatial,1,baseline,15,15,352.4853695977794,5287.280543966692,0.069207099999403,103,45,30,22541.402719833455,148,4508.280543966691,99.0,515.0,135.0,30.0,15,7,full_coverage,20,17,validation
2031091119,3,random,spatial,1,candidate,15,15,208.3948915028722,3125.923372543083,0.3531654999997045,119,38,23,11384.616862715413,157,2276.9233725430827,110.0,595.0,114.0,30.0,15,7,full_coverage,19,17,validation
2031091120,3,random,spatial,1,baseline,10,10,463.9630352909145,4639.630352909145,0.07155220000004192,104,38,28,19443.15176454572,142,3888.6303529091438,97.0,520.0,114.0,20.0,10,7,full_coverage,7,6,validation
2031091120,3,random,spatial,1,candidate,10,10,321.211964788884,3212.11964788884,0.283201199999894,125,61,51,11340.598239444196,186,2268.119647888839,116.0,625.0,183.0,20.0,10,7,full_coverage,11,8,validation
2031091121,3,random,spatial,1,baseline,11,11,413.4822830300091,4548.3051133301005,0.05927800000063144,107,24,13,19076.5255666505,131,3815.3051133301,104.0,535.0,72.0,22.0,11,7,full_coverage,13,10,validation
2031091121,3,random,spatial,1,candidate,11,11,288.9730541077766,3178.7035951855423,0.34279270000024553,131,22,11,11553.517975927713,153,2310.7035951855423,125.0,655.0,66.0,22.0,11,7,full_coverage,12,8,validation
2031091122,3,random,spatial,1,baseline,12,12,364.9034603535187,4378.841524242224,0.05988150000030146,102,40,28,18134.207621211124,142,3626.8415242422248,98.0,510.0,120.0,24.0,12,7,full_coverage,12,8,validation
2031091122,3,random,spatial,1,candidate,12,12,279.53630199042874,3354.4356238851447,0.3759794999996302,126,41,29,12277.178119425726,167,2455.435623885145,122.0,630.0,123.0,24.0,12,7,full_coverage,14,13,validation
2031091123,3,random,spatial,1,baseline,12,12,368.91648012077036,4426.9977614492445,0.07138390000000072,113,40,28,18064.98880724622,153,3612.997761449244,105.0,565.0,120.0,24.0,12,7,full_coverage,16,12,validation
2031091123,3,random,spatial,1,candidate,12,12,257.0508263196512,3084.6099158358147,0.2850198999994973,114,62,50,10988.04957917907,176,2197.6099158358143,107.0,570.0,186.0,24.0,12,7,full_coverage,14,14,validation
2031091124,3,random,spatial,1,baseline,14,14,330.2146967904395,4623.005755066153,0.06108270000004268,95,27,13,19745.028775330768,122,3949.0057550661536,90.0,475.0,81.0,28.0,14,7,full_coverage,18,14,validation
2031091124,3,random,spatial,1,candidate,14,14,279.5573737639011,3913.803232694616,0.3839946999996755,122,41,27,15184.01616347308,163,3036.803232694616,116.0,610.0,123.0,28.0,14,7,full_coverage,22,21,validation
2031091125,3,random,spatial,1,baseline,16,16,297.71923034762835,4763.507685562054,0.0697161000007327,98,41,25,20127.538427810265,139,4025.5076855620528,93.0,490.0,123.0,32.0,16,6,count_upper_bound,15,11,validation
2031091125,3,random,spatial,1,candidate,16,16,216.99725674289266,3471.9561078862826,0.3356394000002183,111,61,45,12979.780539431413,172,2595.9561078862826,106.0,555.0,183.0,32.0,16,7,count_upper_bound,19,17,validation
2031091126,3,random,spatial,1,baseline,12,12,323.82437851199796,3885.8925421439753,0.04782539999996516,111,23,11,15669.462710719881,134,3133.8925421439762,104.0,555.0,69.0,24.0,12,7,full_coverage,14,12,validation
2031091126,3,random,spatial,1,candidate,12,12,264.3744452548844,3172.493343058613,0.24186079999981303,113,40,28,11767.466715293065,153,2353.493343058613,110.0,565.0,120.0,24.0,12,7,full_coverage,12,11,validation
2031091127,3,random,spatial,1,baseline,10,10,373.53615694357876,3735.3615694357877,0.053528800000094634,113,34,24,14691.807847178941,147,2938.361569435788,110.0,565.0,102.0,20.0,10,7,full_coverage,5,5,validation
2031091127,3,random,spatial,1,candidate,10,10,295.03307617780615,2950.3307617780615,0.24888850000024831,122,18,8,10751.65380889031,140,2150.330761778062,116.0,610.0,54.0,20.0,10,7,full_coverage,10,10,validation
2031091128,3,random,spatial,1,baseline,14,14,325.1677411953386,4552.34837673474,0.059380200000305194,101,37,23,19061.741883673698,138,3812.3483767347398,96.0,505.0,111.0,28.0,14,7,full_coverage,15,12,validation
