run,case_code,sources_cleared,total_virtual_s,seconds_per_source,move_s,measure_s,switch_s,optical_s,laser_s,actions,program_s,stations,q3_policy_sha,q4_policy_sha
q4_20260912_230726_557366a9,,12,6659.675,554.97,4920.7,1360.0,247.0,108.0,24.0,310,0.9,22,d12fa3a5,3de0e9a0
q4_20260912_230738_d9d19cef,,12,6127.532,510.63,4579.5,1255.0,230.0,39.0,24.0,266,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_230750_a5325b8b,,12,6785.182,565.43,5060.2,1340.0,247.0,114.0,24.0,308,1.0,22,d12fa3a5,3de0e9a0
q4_20260912_230803_a75600c3,,13,6395.965,492.0,4875.0,1200.0,223.0,72.0,26.0,266,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_230818_9573b50d,,15,5478.037,365.2,4215.0,1005.0,183.0,45.0,30.0,218,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_230834_f9298c15,,15,5979.918,398.66,4693.9,1020.0,185.0,51.0,30.0,223,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_230846_b342caba,,10,6662.287,666.23,4542.3,1590.0,300.0,210.0,20.0,390,1.0,22,d12fa3a5,3de0e9a0
q4_20260912_230859_0e5a3547,,12,6613.378,551.11,4964.4,1330.0,247.0,48.0,24.0,284,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_230917_5529e6fb,,10,6454.396,645.44,4767.4,1370.0,255.0,42.0,20.0,290,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_230932_a09287c2,,14,5554.133,396.72,4248.1,1040.0,190.0,48.0,28.0,226,0.9,22,d12fa3a5,3de0e9a0
q4_20260912_230946_48b6df98,,12,6737.444,561.45,5152.4,1285.0,237.0,39.0,24.0,272,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_231000_4345c22a,,12,6599.712,549.98,4911.7,1365.0,254.0,45.0,24.0,290,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_231020_9a2dd313,,13,6739.129,518.39,5347.1,1115.0,206.0,45.0,26.0,240,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_231034_4c0e585d,,16,5450.185,340.64,4389.2,820.0,146.0,63.0,32.0,187,1.0,21,d12fa3a5,3de0e9a0
q4_20260912_231053_5e00a272,,14,6324.871,451.78,4718.9,1280.0,241.0,57.0,28.0,277,0.9,22,d12fa3a5,3de0e9a0
q4_20260912_231107_d3864281,,13,6436.725,495.13,4927.7,1205.0,224.0,54.0,26.0,261,0.9,22,d12fa3a5,3de0e9a0
q4_20260912_231123_84e112da,,10,6436.32,643.63,4658.3,1455.0,270.0,33.0,20.0,304,0.7,22,d12fa3a5,3de0e9a0
q4_20260912_231136_d47fef44,,11,6892.338,626.58,5146.3,1385.0,258.0,81.0,22.0,306,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_231148_bea97609,,13,6138.447,472.19,4587.4,1255.0,231.0,39.0,26.0,266,0.9,22,d12fa3a5,3de0e9a0
q4_20260912_231205_7145db50,,12,6471.541,539.3,4406.5,1570.0,297.0,174.0,24.0,374,0.9,22,d12fa3a5,3de0e9a0
q4_20260912_231218_8f1c7852,,10,5991.592,599.16,4323.6,1360.0,252.0,36.0,20.0,286,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_231230_b71bbe59,,11,6203.729,563.98,4621.7,1290.0,237.0,33.0,22.0,271,0.9,22,d12fa3a5,3de0e9a0
q4_20260912_231242_103e5b3e,,12,6193.631,516.14,4692.6,1215.0,226.0,36.0,24.0,257,0.8,22,d12fa3a5,3de0e9a0
q4_20260912_231255_8de9fc88,,13,7328.3,563.72,5616.3,1355.0,253.0,78.0,26.0,299,0.9,22,d12fa3a5,3de0e9a0
q4_20260912_231307_03fd86bf,,10,6378.928,637.89,4348.9,1635.0,306.0,69.0,20.0,352,0.9,22,d12fa3a5,3de0e9a0
